Problem,n,Method,Case,h_mode,k_fd,tol,start_type,point_id,run_id,GradNorm,Iterations,MaxIterations,InnerMaxIterations,Success,flag,ConvergenceRate,TimeSeconds,FinalF,PathLen,LastStep
p31,2,nm,Mixed FD,adaptive,8.0,1e-06,random,rand2,33,7.837757486195702e-07,1000,1000,,True,-,0.43430837667153027,0.0051479339599609375,8.764492628290938e-15,13,1.6756696884408376e-07
p31,2,tr,Mixed FD,adaptive,8.0,1e-06,random,rand2,33,1.4717166331476272e-07,13,1000,1000.0,True,-,2.9318612478153407,0.004745006561279297,1.0564991474402397e-15,14,3.086352973220082e-08
p31,2,nm,Mixed FD,adaptive,8.0,1e-06,random,rand3,34,4.861941635442398e-07,1000,1000,,True,-,1.418258925174389,0.005531787872314453,5.861476402498079e-15,14,1.0394563491610126e-07
p31,2,tr,Mixed FD,adaptive,8.0,1e-06,random,rand3,34,5.70526194751859e-07,14,1000,1000.0,True,-,2.9179974181990693,0.004712820053100586,1.5877691339130145e-14,15,1.199492538465478e-07
p31,2,nm,Mixed FD,adaptive,8.0,1e-06,random,rand4,35,8.487846624529948e-07,1000,1000,,True,-,0.38365161413490195,0.006356954574584961,9.362764192028674e-15,14,1.8146547567269614e-07
p31,2,tr,Mixed FD,adaptive,8.0,1e-06,random,rand4,35,2.366002770773014e-07,13,1000,1000.0,True,-,2.7599283192338997,0.0036118030548095703,2.7317395972433518e-15,14,5.127902865131624e-08
p31,2,nm,Mixed FD,adaptive,8.0,1e-06,random,rand5,36,6.03597573375969e-07,1000,1000,,True,-,1.7601788818469695,0.006127834320068359,1.0996288671574025e-14,14,1.290458540546015e-07
p31,2,tr,Mixed FD,adaptive,8.0,1e-06,random,rand5,36,2.375078181136259e-07,12,1000,1000.0,True,-,3.0066291203578994,0.003911256790161133,2.7510159151411598e-15,13,4.914884777337493e-08
p31,2,nm,Mixed FD,adaptive,12.0,1e-06,initial,xbar,37,7.784878152304349e-07,1000,1000,,True,-,2.686889077417319,0.005030155181884766,2.7753551317461587e-14,13,1.663710232546119e-07
p31,2,tr,Mixed FD,adaptive,12.0,1e-06,initial,xbar,37,9.62178537563246e-07,13,1000,1000.0,True,-,2.9192592177285595,0.0035789012908935547,4.515857943431566e-14,14,2.0230349023556014e-07
p31,2,nm,Mixed FD,adaptive,12.0,1e-06,random,rand1,38,7.055032182682925e-07,1000,1000,,True,-,0.48948933496201236,0.0060460567474365234,7.43492408694014e-15,14,1.5082290912890816e-07
p31,2,tr,Mixed FD,adaptive,12.0,1e-06,random,rand1,38,1.7134709245688872e-07,14,1000,1000.0,True,-,2.6502352636859317,0.004139900207519531,1.4331894444559256e-15,15,3.8074265974039796e-08
p31,2,nm,Mixed FD,adaptive,12.0,1e-06,random,rand2,39,7.841369092774787e-07,1000,1000,,True,-,0.43469794080165036,0.005074977874755859,8.778363599923444e-15,13,1.6763490330701604e-07
p31,2,tr,Mixed FD,adaptive,12.0,1e-06,random,rand2,39,1.4812325997360711e-07,13,1000,1000.0,True,-,2.9305572419008694,0.0035719871520996094,1.0702566952460553e-15,14,3.114002555929448e-08
p31,2,nm,Mixed FD,adaptive,12.0,1e-06,random,rand3,40,4.922875941677528e-07,1000,1000,,True,-,1.527171122221748,0.006162166595458984,6.408709786351643e-15,14,1.0524003759323073e-07
p31,2,tr,Mixed FD,adaptive,12.0,1e-06,random,rand3,40,5.701681525220648e-07,14,1000,1000.0,True,-,2.9160383193097728,0.004306316375732422,1.5857912192751686e-14,15,1.1983900144889164e-07
p31,2,nm,Mixed FD,adaptive,12.0,1e-06,random,rand4,41,8.502105189356546e-07,1000,1000,,True,-,0.3850305099468949,0.005428314208984375,9.397626276527751e-15,14,1.8172266126343485e-07
p31,2,tr,Mixed FD,adaptive,12.0,1e-06,random,rand4,41,2.3761635927063262e-07,13,1000,1000.0,True,-,2.7581291838013997,0.004194974899291992,2.7553811694795837e-15,14,5.164475459484682e-08
p31,2,nm,Mixed FD,adaptive,12.0,1e-06,random,rand5,42,6.034855208189395e-07,1000,1000,,True,-,1.7597647783324337,0.005369901657104492,1.0992518260340786e-14,14,1.2903077715669384e-07
p31,2,tr,Mixed FD,adaptive,12.0,1e-06,random,rand5,42,2.3236012432623543e-07,12,1000,1000.0,True,-,2.970997707551033,0.003384113311767578,2.6333363351851892e-15,13,4.8387944581879995e-08
p31,2,nm,Full FD,scalar,4.0,1e-06,initial,xbar,43,1.1656851627179053e-07,1000,1000,,True,-,2.0206804114533137,0.0032913684844970703,6.600716268417648e-16,6,9.603922210479358e-05
p31,2,tr,Full FD,scalar,4.0,1e-06,initial,xbar,43,4.274404475710232e-09,6,1000,1000.0,True,-,2.0558997751317123,0.0030298233032226562,8.80143914749465e-19,7,1.730058455670125e-06
p31,2,nm,Full FD,scalar,4.0,1e-06,random,rand1,44,2.7186075685711383e-08,1000,1000,,True,-,2.0342560552594295,0.005293130874633789,3.499922123743657e-17,7,1.1397354300067803e-05
p31,2,tr,Full FD,scalar,4.0,1e-06,random,rand1,44,1.1566925389166018e-08,7,1000,1000.0,True,-,2.0406109215166195,0.0031571388244628906,6.3548202202587675e-18,8,4.663779225799058e-06
p31,2,nm,Full FD,scalar,4.0,1e-06,random,rand2,45,1.1612152636244487e-07,1000,1000,,True,-,2.0208409203047126,0.003292083740234375,6.592327897156327e-16,6,9.73663193093077e-05
p31,2,tr,Full FD,scalar,4.0,1e-06,random,rand2,45,7.03259688996734e-10,7,1000,1000.0,True,-,2.1111102603959857,0.003593921661376953,2.3969132003186526e-20,8,2.8221102253713206e-07
p31,2,nm,Full FD,scalar,4.0,1e-06,random,rand3,46,1.6636305460126653e-07,1000,1000,,True,-,2.024716458777427,0.0039250850677490234,4.980078955634338e-16,6,0.00020468886990739738
p31,2,tr,Full FD,scalar,4.0,1e-06,random,rand3,46,4.658425603525959e-07,5,1000,1000.0,True,-,1.9608414285018063,0.002748727798461914,7.41485615419067e-15,6,0.0002776869103538378
p31,2,nm,Full FD,scalar,4.0,1e-06,random,rand4,47,8.106793866469415e-08,1000,1000,,True,-,2.0256738037255757,0.0044329166412353516,3.2106105263655576e-16,8,4.2550163075006994e-05
p31,2,tr,Full FD,scalar,4.0,1e-06,random,rand4,47,2.0590439462892996e-08,6,1000,1000.0,True,-,2.0344984220510622,0.002679109573364258,2.0198579162902257e-17,7,8.498045871667713e-06
p31,2,nm,Full FD,scalar,4.0,1e-06,random,rand5,48,1.066652537248339e-08,1000,1000,,True,-,2.041191110861631,0.004781007766723633,5.503225938282861e-18,7,4.38328881591703e-06
p31,2,tr,Full FD,scalar,4.0,1e-06,random,rand5,48,1.0908545476982544e-07,6,1000,1000.0,True,-,2.0312902535227284,0.002710103988647461,4.714908939243465e-16,7,0.00012477040660422074
